CAND_ID,Similarity_Score,Skill Match %,Final_Score,Matched Skills,Missing Skills
CAND_1143,14.6,10.0,12.76,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_1118,7.68,20.0,12.61,"AWS, SQL","Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_1803,14.27,10.0,12.56,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_1172,7.44,20.0,12.46,"AWS, SQL","Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_300,7.41,20.0,12.45,"AWS, SQL","Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_564,7.32,20.0,12.39,"Python, SQL","AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Scikit-learn"
CAND_1136,6.76,20.0,12.06,"Machine Learning, SQL","AWS, Docker, Git, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_310,6.7,20.0,12.02,"Git, SQL","AWS, Docker, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_1173,6.51,20.0,11.91,"Python, SQL","AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Scikit-learn"
CAND_129,6.48,20.0,11.89,"Python, SQL","AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Scikit-learn"
CAND_1116,6.29,20.0,11.77,"AWS, SQL","Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_2385,6.26,20.0,11.76,"Python, SQL","AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Scikit-learn"
CAND_312,6.21,20.0,11.73,"Git, SQL","AWS, Docker, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_156,12.7,10.0,11.62,AWS,"Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn"
CAND_268,5.88,20.0,11.53,"Python, SQL","AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Scikit-learn"
CAND_1733,12.47,10.0,11.48,Python,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, SQL, Scikit-learn"
CAND_1707,12.3,10.0,11.38,Machine Learning,"AWS, Docker, Git, NLP, NumPy, Pandas, Python, SQL, Scikit-learn"
CAND_2184,12.2,10.0,11.32,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_1168,12.16,10.0,11.3,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_1148,5.48,20.0,11.29,"AWS, SQL","Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_244,12.08,10.0,11.25,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_1304,5.28,20.0,11.17,"Python, SQL","AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Scikit-learn"
CAND_1740,18.24,0.0,10.94,,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn"
CAND_548,4.6,20.0,10.76,"AWS, SQL","Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_281,10.77,10.0,10.46,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_1742,10.6,10.0,10.36,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_987,10.34,10.0,10.2,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_1719,10.09,10.0,10.05,AWS,"Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn"
CAND_127,9.88,10.0,9.93,Python,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, SQL, Scikit-learn"
CAND_584,9.82,10.0,9.89,Python,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, SQL, Scikit-learn"
CAND_1208,3.07,20.0,9.84,"Python, SQL","AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Scikit-learn"
CAND_1128,9.67,10.0,9.8,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_1795,9.55,10.0,9.73,Machine Learning,"AWS, Docker, Git, NLP, NumPy, Pandas, Python, SQL, Scikit-learn"
CAND_230,9.54,10.0,9.72,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_1153,2.81,20.0,9.69,"Python, SQL","AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Scikit-learn"
CAND_1758,15.9,0.0,9.54,,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn"
CAND_251,2.02,20.0,9.21,"AWS, SQL","Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_121,8.64,10.0,9.18,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_1785,8.45,10.0,9.07,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_178,8.26,10.0,8.96,AWS,"Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn"
CAND_311,8.18,10.0,8.91,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_2403,7.94,10.0,8.76,Python,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, SQL, Scikit-learn"
CAND_1092,7.86,10.0,8.72,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_1724,7.77,10.0,8.66,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_369,14.44,0.0,8.66,,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn"
CAND_1766,7.48,10.0,8.49,Python,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, SQL, Scikit-learn"
CAND_1154,7.35,10.0,8.41,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_2211,7.31,10.0,8.39,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_228,7.16,10.0,8.3,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_1778,7.06,10.0,8.24,Python,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, SQL, Scikit-learn"
CAND_1787,13.71,0.0,8.23,,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn"
CAND_1215,7.02,10.0,8.21,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_1714,6.94,10.0,8.16,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_1934,13.51,0.0,8.11,,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn"
CAND_164,6.84,10.0,8.1,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_195,13.46,0.0,8.08,,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn"
CAND_2220,6.73,10.0,8.04,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_297,6.64,10.0,7.98,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_1041,6.56,10.0,7.94,Machine Learning,"AWS, Docker, Git, NLP, NumPy, Pandas, Python, SQL, Scikit-learn"
CAND_949,13.14,0.0,7.88,,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn"
CAND_1805,13.14,0.0,7.88,,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn"
CAND_988,6.42,10.0,7.85,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_1961,6.42,10.0,7.85,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_2291,12.96,0.0,7.78,,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn"
CAND_477,6.2,10.0,7.72,Python,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, SQL, Scikit-learn"
CAND_2171,5.97,10.0,7.58,Python,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, SQL, Scikit-learn"
CAND_1188,5.91,10.0,7.55,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_250,5.88,10.0,7.53,Python,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, SQL, Scikit-learn"
CAND_133,5.82,10.0,7.49,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_1753,12.47,0.0,7.48,,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn"
CAND_173,12.41,0.0,7.45,,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn"
CAND_500,5.62,10.0,7.37,AWS,"Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn"
CAND_1180,5.6,10.0,7.36,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_1780,12.27,0.0,7.36,,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn"
CAND_243,5.55,10.0,7.33,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_1737,5.54,10.0,7.32,Machine Learning,"AWS, Docker, Git, NLP, NumPy, Pandas, Python, SQL, Scikit-learn"
CAND_2196,5.46,10.0,7.28,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_183,5.42,10.0,7.25,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_1804,12.02,0.0,7.21,,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn"
CAND_2190,5.32,10.0,7.19,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_325,5.31,10.0,7.19,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_1709,11.97,0.0,7.18,,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn"
CAND_277,5.23,10.0,7.14,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_1693,5.09,10.0,7.05,Python,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, SQL, Scikit-learn"
CAND_1324,4.96,10.0,6.98,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_561,4.89,10.0,6.93,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_1794,4.82,10.0,6.89,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_248,4.77,10.0,6.86,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_1181,4.73,10.0,6.84,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_1641,4.72,10.0,6.83,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_1138,4.72,10.0,6.83,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_1807,11.3,0.0,6.78,,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn"
CAND_1543,4.63,10.0,6.78,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_1800,11.26,0.0,6.76,,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn"
CAND_739,4.49,10.0,6.69,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_317,4.46,10.0,6.68,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_1938,4.39,10.0,6.63,AWS,"Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn"
CAND_092,4.37,10.0,6.62,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_1195,4.37,10.0,6.62,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_266,4.35,10.0,6.61,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_2089,4.32,10.0,6.59,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_1723,10.94,0.0,6.56,,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn"
CAND_118,4.25,10.0,6.55,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_327,4.13,10.0,6.48,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_1798,4.01,10.0,6.41,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_2362,4.0,10.0,6.4,AWS,"Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn"
CAND_779,3.99,10.0,6.39,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_1260,3.89,10.0,6.33,Machine Learning,"AWS, Docker, Git, NLP, NumPy, Pandas, Python, SQL, Scikit-learn"
CAND_2367,10.54,0.0,6.32,,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn"
CAND_232,3.76,10.0,6.26,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_1802,3.76,10.0,6.26,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_1763,10.44,0.0,6.26,,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn"
CAND_240,3.75,10.0,6.25,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_275,3.71,10.0,6.23,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_1702,10.37,0.0,6.22,,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn"
CAND_1125,3.62,10.0,6.17,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_231,3.62,10.0,6.17,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_079,3.54,10.0,6.12,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_242,3.46,10.0,6.08,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_2208,3.46,10.0,6.08,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_673,3.46,10.0,6.08,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_718,3.45,10.0,6.07,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_117,3.41,10.0,6.05,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_283,3.41,10.0,6.05,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_2027,3.4,10.0,6.04,AWS,"Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn"
CAND_472,3.4,10.0,6.04,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_1139,3.39,10.0,6.03,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_273,3.39,10.0,6.03,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_1541,3.35,10.0,6.01,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_258,3.31,10.0,5.99,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_977,3.25,10.0,5.95,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_304,3.23,10.0,5.94,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_1797,9.89,0.0,5.93,,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn"
CAND_907,9.88,0.0,5.93,,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn"
CAND_1788,9.86,0.0,5.92,,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn"
CAND_1653,9.86,0.0,5.92,,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn"
CAND_1727,9.85,0.0,5.91,,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn"
CAND_1132,3.06,10.0,5.84,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_689,3.07,10.0,5.84,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_336,3.07,10.0,5.84,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_334,3.03,10.0,5.82,Python,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, SQL, Scikit-learn"
CAND_439,9.61,0.0,5.77,,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn"
CAND_1946,9.6,0.0,5.76,,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn"
CAND_2151,2.89,10.0,5.73,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_1272,2.85,10.0,5.71,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_708,2.83,10.0,5.7,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_1191,2.81,10.0,5.69,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_1729,9.46,0.0,5.68,,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn"
CAND_1043,9.45,0.0,5.67,,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn"
CAND_1786,9.43,0.0,5.66,,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn"
CAND_279,2.76,10.0,5.66,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_1252,2.74,10.0,5.64,Git,"AWS, Docker, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn"
CAND_280,9.39,0.0,5.63,,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn"
CAND_1480,2.66,10.0,5.6,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_2242,2.63,10.0,5.58,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_2191,2.63,10.0,5.58,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_1342,9.3,0.0,5.58,,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn"
CAND_328,2.61,10.0,5.57,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_1240,2.6,10.0,5.56,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_775,2.57,10.0,5.54,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_259,2.56,10.0,5.54,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_136,9.21,0.0,5.53,,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn"
CAND_437,9.12,0.0,5.47,,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn"
CAND_338,9.05,0.0,5.43,,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn"
CAND_1317,2.38,10.0,5.43,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_1761,9.0,0.0,5.4,,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn"
CAND_1703,8.98,0.0,5.39,,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn"
CAND_2338,8.97,0.0,5.38,,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn"
CAND_042,2.29,10.0,5.37,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_2202,2.29,10.0,5.37,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_225,2.27,10.0,5.36,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_2251,2.27,10.0,5.36,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_1165,2.21,10.0,5.33,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_252,2.22,10.0,5.33,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_2120,2.2,10.0,5.32,Machine Learning,"AWS, Docker, Git, NLP, NumPy, Pandas, Python, SQL, Scikit-learn"
