Rank,CAND_ID,Category,Similarity_Score,Skill_Match_Score,Final_Score,Matched_Skills,Missing_Skills,Fit_Justification
11,CAND_299,INFORMATION-TECHNOLOGY,22.47,20.0,21.48,"AWS, Python","Docker, Git, Machine Learning, NLP, NumPy, Pandas, SQL, Scikit-learn","Candidate CAND_299 shows weak overall alignment (22.47% text similarity, 20.0% skill match). Missing critical requirements: [Docker, Git, Machine Learning, NLP, NumPy, Pandas, SQL, Scikit-learn]."
12,CAND_1219,CONSULTANT,14.72,30.0,20.83,"Machine Learning, Python, SQL","AWS, Docker, Git, NLP, NumPy, Pandas, Scikit-learn","Candidate CAND_1219 shows weak overall alignment (14.72% text similarity, 30.0% skill match). Missing critical requirements: [AWS, Docker, Git, NLP, NumPy, Pandas, Scikit-learn]."
13,CAND_1750,ENGINEERING,13.09,30.0,19.85,"Git, Python, SQL","AWS, Docker, Machine Learning, NLP, NumPy, Pandas, Scikit-learn","Candidate CAND_1750 shows weak overall alignment (13.09% text similarity, 30.0% skill match). Missing critical requirements: [AWS, Docker, Machine Learning, NLP, NumPy, Pandas, Scikit-learn]."
14,CAND_2457,AVIATION,10.03,30.0,18.02,"AWS, Git, SQL","Docker, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn","Candidate CAND_2457 shows weak overall alignment (10.03% text similarity, 30.0% skill match). Missing critical requirements: [Docker, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn]."
15,CAND_1764,ENGINEERING,22.0,10.0,17.2,Machine Learning,"AWS, Docker, Git, NLP, NumPy, Pandas, Python, SQL, Scikit-learn","Candidate CAND_1764 shows weak overall alignment (22.0% text similarity, 10.0% skill match). Missing critical requirements: [AWS, Docker, Git, NLP, NumPy, Pandas, Python, SQL, Scikit-learn]."
16,CAND_298,INFORMATION-TECHNOLOGY,8.23,30.0,16.94,"AWS, Git, SQL","Docker, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn","Candidate CAND_298 shows weak overall alignment (8.23% text similarity, 30.0% skill match). Missing critical requirements: [Docker, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn]."
17,CAND_1756,ENGINEERING,14.51,20.0,16.71,"Python, SQL","AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Scikit-learn","Candidate CAND_1756 shows weak overall alignment (14.51% text similarity, 20.0% skill match). Missing critical requirements: [AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Scikit-learn]."
18,CAND_332,INFORMATION-TECHNOLOGY,7.84,30.0,16.7,"AWS, Python, SQL","Docker, Git, Machine Learning, NLP, NumPy, Pandas, Scikit-learn","Candidate CAND_332 shows weak overall alignment (7.84% text similarity, 30.0% skill match). Missing critical requirements: [Docker, Git, Machine Learning, NLP, NumPy, Pandas, Scikit-learn]."
19,CAND_845,FITNESS,12.35,20.0,15.41,"Python, SQL","AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Scikit-learn","Candidate CAND_845 shows weak overall alignment (12.35% text similarity, 20.0% skill match). Missing critical requirements: [AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Scikit-learn]."
20,CAND_747,HEALTHCARE,24.49,0.0,14.69,,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn","Candidate CAND_747 shows weak overall alignment (24.49% text similarity, 0.0% skill match). Missing critical requirements: [AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn]."
21,CAND_663,BUSINESS-DEVELOPMENT,10.23,20.0,14.14,"Python, SQL","AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Scikit-learn","Candidate CAND_663 shows weak overall alignment (10.23% text similarity, 20.0% skill match). Missing critical requirements: [AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Scikit-learn]."
22,CAND_1732,ENGINEERING,9.85,20.0,13.91,"Python, SQL","AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Scikit-learn","Candidate CAND_1732 shows weak overall alignment (9.85% text similarity, 20.0% skill match). Missing critical requirements: [AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Scikit-learn]."
23,CAND_1112,CONSULTANT,9.71,20.0,13.83,"Git, SQL","AWS, Docker, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn","Candidate CAND_1112 shows weak overall alignment (9.71% text similarity, 20.0% skill match). Missing critical requirements: [AWS, Docker, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn]."
24,CAND_1695,ENGINEERING,9.44,20.0,13.66,"Python, SQL","AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Scikit-learn","Candidate CAND_1695 shows weak overall alignment (9.44% text similarity, 20.0% skill match). Missing critical requirements: [AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Scikit-learn]."
25,CAND_125,DESIGNER,8.94,20.0,13.36,"Git, SQL","AWS, Docker, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn","Candidate CAND_125 shows weak overall alignment (8.94% text similarity, 20.0% skill match). Missing critical requirements: [AWS, Docker, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn]."
26,CAND_264,INFORMATION-TECHNOLOGY,8.81,20.0,13.29,"AWS, SQL","Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn","Candidate CAND_264 shows weak overall alignment (8.81% text similarity, 20.0% skill match). Missing critical requirements: [Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn]."
27,CAND_320,INFORMATION-TECHNOLOGY,8.71,20.0,13.23,"Git, SQL","AWS, Docker, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn","Candidate CAND_320 shows weak overall alignment (8.71% text similarity, 20.0% skill match). Missing critical requirements: [AWS, Docker, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn]."
28,CAND_316,INFORMATION-TECHNOLOGY,8.69,20.0,13.21,"Python, SQL","AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Scikit-learn","Candidate CAND_316 shows weak overall alignment (8.69% text similarity, 20.0% skill match). Missing critical requirements: [AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Scikit-learn]."
29,CAND_1235,DIGITAL-MEDIA,8.29,20.0,12.97,"AWS, SQL","Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn","Candidate CAND_1235 shows weak overall alignment (8.29% text similarity, 20.0% skill match). Missing critical requirements: [Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn]."
30,CAND_292,INFORMATION-TECHNOLOGY,8.07,20.0,12.84,"Python, SQL","AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Scikit-learn","Candidate CAND_292 shows weak overall alignment (8.07% text similarity, 20.0% skill match). Missing critical requirements: [AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Scikit-learn]."
31,CAND_1143,CONSULTANT,14.6,10.0,12.76,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn","Candidate CAND_1143 shows weak overall alignment (14.6% text similarity, 10.0% skill match). Missing critical requirements: [AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn]."
32,CAND_1118,CONSULTANT,7.68,20.0,12.61,"AWS, SQL","Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn","Candidate CAND_1118 shows weak overall alignment (7.68% text similarity, 20.0% skill match). Missing critical requirements: [Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn]."
33,CAND_1803,ENGINEERING,14.27,10.0,12.56,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn","Candidate CAND_1803 shows weak overall alignment (14.27% text similarity, 10.0% skill match). Missing critical requirements: [AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn]."
34,CAND_1172,CONSULTANT,7.44,20.0,12.46,"AWS, SQL","Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn","Candidate CAND_1172 shows weak overall alignment (7.44% text similarity, 20.0% skill match). Missing critical requirements: [Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn]."
35,CAND_300,INFORMATION-TECHNOLOGY,7.41,20.0,12.45,"AWS, SQL","Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn","Candidate CAND_300 shows weak overall alignment (7.41% text similarity, 20.0% skill match). Missing critical requirements: [Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn]."
36,CAND_564,BUSINESS-DEVELOPMENT,7.32,20.0,12.39,"Python, SQL","AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Scikit-learn","Candidate CAND_564 shows weak overall alignment (7.32% text similarity, 20.0% skill match). Missing critical requirements: [AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Scikit-learn]."
37,CAND_1136,CONSULTANT,6.76,20.0,12.06,"Machine Learning, SQL","AWS, Docker, Git, NLP, NumPy, Pandas, Python, Scikit-learn","Candidate CAND_1136 shows weak overall alignment (6.76% text similarity, 20.0% skill match). Missing critical requirements: [AWS, Docker, Git, NLP, NumPy, Pandas, Python, Scikit-learn]."
38,CAND_310,INFORMATION-TECHNOLOGY,6.7,20.0,12.02,"Git, SQL","AWS, Docker, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn","Candidate CAND_310 shows weak overall alignment (6.7% text similarity, 20.0% skill match). Missing critical requirements: [AWS, Docker, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn]."
39,CAND_1173,CONSULTANT,6.51,20.0,11.91,"Python, SQL","AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Scikit-learn","Candidate CAND_1173 shows weak overall alignment (6.51% text similarity, 20.0% skill match). Missing critical requirements: [AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Scikit-learn]."
40,CAND_129,DESIGNER,6.48,20.0,11.89,"Python, SQL","AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Scikit-learn","Candidate CAND_129 shows weak overall alignment (6.48% text similarity, 20.0% skill match). Missing critical requirements: [AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Scikit-learn]."
41,CAND_1116,CONSULTANT,6.29,20.0,11.77,"AWS, SQL","Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn","Candidate CAND_1116 shows weak overall alignment (6.29% text similarity, 20.0% skill match). Missing critical requirements: [Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn]."
42,CAND_2385,AVIATION,6.26,20.0,11.76,"Python, SQL","AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Scikit-learn","Candidate CAND_2385 shows weak overall alignment (6.26% text similarity, 20.0% skill match). Missing critical requirements: [AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Scikit-learn]."
43,CAND_312,INFORMATION-TECHNOLOGY,6.21,20.0,11.73,"Git, SQL","AWS, Docker, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn","Candidate CAND_312 shows weak overall alignment (6.21% text similarity, 20.0% skill match). Missing critical requirements: [AWS, Docker, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn]."
44,CAND_156,DESIGNER,12.7,10.0,11.62,AWS,"Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn","Candidate CAND_156 shows weak overall alignment (12.7% text similarity, 10.0% skill match). Missing critical requirements: [Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn]."
45,CAND_268,INFORMATION-TECHNOLOGY,5.88,20.0,11.53,"Python, SQL","AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Scikit-learn","Candidate CAND_268 shows weak overall alignment (5.88% text similarity, 20.0% skill match). Missing critical requirements: [AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Scikit-learn]."
46,CAND_1733,ENGINEERING,12.47,10.0,11.48,Python,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, SQL, Scikit-learn","Candidate CAND_1733 shows weak overall alignment (12.47% text similarity, 10.0% skill match). Missing critical requirements: [AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, SQL, Scikit-learn]."
47,CAND_1707,ENGINEERING,12.3,10.0,11.38,Machine Learning,"AWS, Docker, Git, NLP, NumPy, Pandas, Python, SQL, Scikit-learn","Candidate CAND_1707 shows weak overall alignment (12.3% text similarity, 10.0% skill match). Missing critical requirements: [AWS, Docker, Git, NLP, NumPy, Pandas, Python, SQL, Scikit-learn]."
48,CAND_2184,BANKING,12.2,10.0,11.32,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn","Candidate CAND_2184 shows weak overall alignment (12.2% text similarity, 10.0% skill match). Missing critical requirements: [AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn]."
49,CAND_1168,CONSULTANT,12.16,10.0,11.3,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn","Candidate CAND_1168 shows weak overall alignment (12.16% text similarity, 10.0% skill match). Missing critical requirements: [AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn]."
50,CAND_1148,CONSULTANT,5.48,20.0,11.29,"AWS, SQL","Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn","Candidate CAND_1148 shows weak overall alignment (5.48% text similarity, 20.0% skill match). Missing critical requirements: [Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn]."
51,CAND_244,INFORMATION-TECHNOLOGY,12.08,10.0,11.25,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn","Candidate CAND_244 shows weak overall alignment (12.08% text similarity, 10.0% skill match). Missing critical requirements: [AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn]."
52,CAND_1304,DIGITAL-MEDIA,5.28,20.0,11.17,"Python, SQL","AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Scikit-learn","Candidate CAND_1304 shows weak overall alignment (5.28% text similarity, 20.0% skill match). Missing critical requirements: [AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Scikit-learn]."
53,CAND_1740,ENGINEERING,18.24,0.0,10.94,,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn","Candidate CAND_1740 shows weak overall alignment (18.24% text similarity, 0.0% skill match). Missing critical requirements: [AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn]."
54,CAND_548,ADVOCATE,4.6,20.0,10.76,"AWS, SQL","Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn","Candidate CAND_548 shows weak overall alignment (4.6% text similarity, 20.0% skill match). Missing critical requirements: [Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn]."
55,CAND_281,INFORMATION-TECHNOLOGY,10.77,10.0,10.46,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn","Candidate CAND_281 shows weak overall alignment (10.77% text similarity, 10.0% skill match). Missing critical requirements: [AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn]."
56,CAND_1742,ENGINEERING,10.6,10.0,10.36,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn","Candidate CAND_1742 shows weak overall alignment (10.6% text similarity, 10.0% skill match). Missing critical requirements: [AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn]."
57,CAND_987,BPO,10.34,10.0,10.2,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn","Candidate CAND_987 shows weak overall alignment (10.34% text similarity, 10.0% skill match). Missing critical requirements: [AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn]."
58,CAND_1719,ENGINEERING,10.09,10.0,10.05,AWS,"Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn","Candidate CAND_1719 shows weak overall alignment (10.09% text similarity, 10.0% skill match). Missing critical requirements: [Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn]."
59,CAND_127,DESIGNER,9.88,10.0,9.93,Python,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, SQL, Scikit-learn","Candidate CAND_127 shows weak overall alignment (9.88% text similarity, 10.0% skill match). Missing critical requirements: [AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, SQL, Scikit-learn]."
60,CAND_584,BUSINESS-DEVELOPMENT,9.82,10.0,9.89,Python,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, SQL, Scikit-learn","Candidate CAND_584 shows weak overall alignment (9.82% text similarity, 10.0% skill match). Missing critical requirements: [AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, SQL, Scikit-learn]."
61,CAND_1208,CONSULTANT,3.07,20.0,9.84,"Python, SQL","AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Scikit-learn","Candidate CAND_1208 shows weak overall alignment (3.07% text similarity, 20.0% skill match). Missing critical requirements: [AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Scikit-learn]."
62,CAND_1128,CONSULTANT,9.67,10.0,9.8,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn","Candidate CAND_1128 shows weak overall alignment (9.67% text similarity, 10.0% skill match). Missing critical requirements: [AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn]."
63,CAND_1795,ENGINEERING,9.55,10.0,9.73,Machine Learning,"AWS, Docker, Git, NLP, NumPy, Pandas, Python, SQL, Scikit-learn","Candidate CAND_1795 shows weak overall alignment (9.55% text similarity, 10.0% skill match). Missing critical requirements: [AWS, Docker, Git, NLP, NumPy, Pandas, Python, SQL, Scikit-learn]."
64,CAND_230,INFORMATION-TECHNOLOGY,9.54,10.0,9.72,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn","Candidate CAND_230 shows weak overall alignment (9.54% text similarity, 10.0% skill match). Missing critical requirements: [AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn]."
65,CAND_1153,CONSULTANT,2.81,20.0,9.69,"Python, SQL","AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Scikit-learn","Candidate CAND_1153 shows weak overall alignment (2.81% text similarity, 20.0% skill match). Missing critical requirements: [AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Scikit-learn]."
66,CAND_1758,ENGINEERING,15.9,0.0,9.54,,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn","Candidate CAND_1758 shows weak overall alignment (15.9% text similarity, 0.0% skill match). Missing critical requirements: [AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn]."
67,CAND_251,INFORMATION-TECHNOLOGY,2.02,20.0,9.21,"AWS, SQL","Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn","Candidate CAND_251 shows weak overall alignment (2.02% text similarity, 20.0% skill match). Missing critical requirements: [Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn]."
68,CAND_121,DESIGNER,8.64,10.0,9.18,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn","Candidate CAND_121 shows weak overall alignment (8.64% text similarity, 10.0% skill match). Missing critical requirements: [AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn]."
69,CAND_1785,ENGINEERING,8.45,10.0,9.07,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn","Candidate CAND_1785 shows weak overall alignment (8.45% text similarity, 10.0% skill match). Missing critical requirements: [AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn]."
70,CAND_178,DESIGNER,8.26,10.0,8.96,AWS,"Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn","Candidate CAND_178 shows weak overall alignment (8.26% text similarity, 10.0% skill match). Missing critical requirements: [Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn]."
71,CAND_311,INFORMATION-TECHNOLOGY,8.18,10.0,8.91,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn","Candidate CAND_311 shows weak overall alignment (8.18% text similarity, 10.0% skill match). Missing critical requirements: [AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn]."
72,CAND_2403,AVIATION,7.94,10.0,8.76,Python,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, SQL, Scikit-learn","Candidate CAND_2403 shows weak overall alignment (7.94% text similarity, 10.0% skill match). Missing critical requirements: [AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, SQL, Scikit-learn]."
73,CAND_1092,SALES,7.86,10.0,8.72,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn","Candidate CAND_1092 shows weak overall alignment (7.86% text similarity, 10.0% skill match). Missing critical requirements: [AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn]."
74,CAND_1724,ENGINEERING,7.77,10.0,8.66,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn","Candidate CAND_1724 shows weak overall alignment (7.77% text similarity, 10.0% skill match). Missing critical requirements: [AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn]."
75,CAND_369,TEACHER,14.44,0.0,8.66,,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn","Candidate CAND_369 shows weak overall alignment (14.44% text similarity, 0.0% skill match). Missing critical requirements: [AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn]."
76,CAND_1766,ENGINEERING,7.48,10.0,8.49,Python,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, SQL, Scikit-learn","Candidate CAND_1766 shows weak overall alignment (7.48% text similarity, 10.0% skill match). Missing critical requirements: [AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, SQL, Scikit-learn]."
77,CAND_1154,CONSULTANT,7.35,10.0,8.41,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn","Candidate CAND_1154 shows weak overall alignment (7.35% text similarity, 10.0% skill match). Missing critical requirements: [AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn]."
78,CAND_2211,BANKING,7.31,10.0,8.39,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn","Candidate CAND_2211 shows weak overall alignment (7.31% text similarity, 10.0% skill match). Missing critical requirements: [AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn]."
79,CAND_228,INFORMATION-TECHNOLOGY,7.16,10.0,8.3,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn","Candidate CAND_228 shows weak overall alignment (7.16% text similarity, 10.0% skill match). Missing critical requirements: [AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn]."
80,CAND_1778,ENGINEERING,7.06,10.0,8.24,Python,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, SQL, Scikit-learn","Candidate CAND_1778 shows weak overall alignment (7.06% text similarity, 10.0% skill match). Missing critical requirements: [AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, SQL, Scikit-learn]."
81,CAND_1787,ENGINEERING,13.71,0.0,8.23,,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn","Candidate CAND_1787 shows weak overall alignment (13.71% text similarity, 0.0% skill match). Missing critical requirements: [AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn]."
82,CAND_1215,CONSULTANT,7.02,10.0,8.21,SQL,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn","Candidate CAND_1215 shows weak overall alignment (7.02% text similarity, 10.0% skill match). Missing critical requirements: [AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn]."
